lon,lat
22.960847,40.6335013
22.9616103,40.633217
22.9622148,40.6329518
22.9647525,40.6318006
22.9653037,40.6315579
22.9657275,40.6314195
22.9660642,40.6313567
22.9666336,40.6313182
22.9669847,40.631198
22.9671263,40.6310031
22.9671201,40.6308027
22.9671626,40.6306402
22.9677072,40.6299729
22.9685187,40.6291129
22.9331958,40.64515
22.9316364,40.6466834
22.9243866,40.6489393
22.9256199,40.6492281
22.9265233,40.6494323
22.9422929,40.6424302
22.9428124,40.642169
22.9444349,40.6413527
22.9487431,40.639168
22.9515851,40.6377197
22.954666,40.6362227
22.9466105,40.6286236
22.9453732,40.6294795
22.9443004,40.6302354
22.9433429,40.6308642
22.9422629,40.6315424
22.9417445,40.6318657
22.9417272,40.6354705
22.9411139,40.6346169
22.9078889,40.6416946
22.9070574,40.6420345
22.9044825,40.6431417
22.9039997,40.6433289
22.9033632,40.6435041
22.9026795,40.6436086
22.9019079,40.6436642
22.9006832,40.6437246
22.90993,40.6494647
22.9086755,40.6496976
22.9082358,40.6498843
22.9062029,40.6514444
22.9267235,40.6400055
22.9231517,40.6411756
22.9228486,40.6412815
22.9143156,40.6454394
22.9140692,40.6456625
22.9227692,40.6408441
22.9228939,40.6405783
